[{No.,1
Company,John Hancock Income Securities Trust
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,135.94
P/E,12.29
Price,11.67
Change,0.00%
Volume,0}
{No.,5324
Ticker,JHSC
Company,John Hancock Multifactor Small Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.82
Change,0.00%
Volume,0}
{No.,5325
Ticker,JHX
Company,James Hardie Industries plc
Sector,Basic Materials
Industry,Building Materials
Country,Ireland
Market Cap,14744.31
P/E,94.89
Price,25.28
Change,0.00%
Volume,0}
{No.,5326
Ticker,JIDE
Company,JPMorgan International Dynamic ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.26
Change,0.00%
Volume,0}
{No.,5327
Ticker,JIG
Company,JPMorgan International Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,79.45
Change,0.00%
Volume,0}
{No.,5328
Ticker,JIII
Company,Janus Henderson Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.69
Change,0.00%
Volume,0}
{No.,5329
Ticker,JILL
Company,J.Jill Inc
Sector,Consumer Cyclical
Industry,Apparel Retail
Country,USA
Market Cap,258.02
P/E,7.79
Price,17.07
Change,0.00%
Volume,0}
{No.,5330
Ticker,JIRE
Company,JPMorgan International Research Enhanced Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,81.40
Change,0.00%
Volume,0}
{No.,5331
Ticker,JIVE
Company,JPMorgan International Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,90.07
Change,0.00%
Volume,0}
{No.,5332
Ticker,JJSF
Company,J&J Snack Foods Corp
Sector,Consumer Defensive
Industry,Packaged Foods
Country,USA
Market Cap,1619.81
P/E,27.14
Price,85.20
Change,0.00%
Volume,0}
{No.,5333
Ticker,JKHY
Company,Jack Henry & Associates
Sector,Technology
Industry,Information Technology Services
Country,USA
Market Cap,11445.02
P/E,22.77
Price,158.59
Change,0.00%
Volume,0}
{No.,5334
Ticker,JKS
Company,JinkoSolar Holding Co. Ltd ADR
Sector,Technology
Industry,Solar
Country,China
Market Cap,1330.38
P/E,
Price,26.47
Change,0.00%
Volume,0}
{No.,5335
Ticker,JL
Company,J-Long Group Ltd
Sector,Consumer Cyclical
Industry,Apparel Manufacturing
Country,Hong Kong
Market Cap,15.76
P/E,47.24
Price,4.19
Change,0.00%
Volume,0}
{No.,5336
Ticker,JLHL
Company,Julong Holding Ltd
Sector,Industrials
Industry,Building Products & Equipment
Country,China
Market Cap,108.96
P/E,29.94
Price,5.08
Change,0.00%
Volume,0}
{No.,5337
Ticker,JLL
Company,Jones Lang Lasalle Inc
Sector,Real Estate
Industry,Real Estate Services
Country,USA
Market Cap,13536.83
P/E,21.99
Price,286.83
Change,0.00%
Volume,0}
{No.,5338
Ticker,JLQD
Company,Janus Henderson Corporate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.32
Change,0.00%
Volume,0}
{No.,5339
Ticker,JLS
Company,Nuveen Mortgage and Income Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,101.43
P/E,9.60
Price,18.52
Change,0.00%
Volume,0}
{No.,5340
Ticker,JMBS
Company,Janus Henderson Mortgage-Backed Securities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.23
Change,0.00%
Volume,0}
{No.,5341
Ticker,JMEE
Company,JPMorgan Small & Mid Cap Enhanced Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,70.23
Change,0.00%
Volume,0}
{No.,5342
Ticker,JMHI
Company,JPMorgan High Yield Municipal ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.89
Change,0.00%
Volume,0}
{No.,5343
Ticker,JMIA
Company,Jumia Technologies Ag ADR
Sector,Consumer Cyclical
Industry,Internet Retail
Country,Germany
Market Cap,1136.43
P/E,
Price,9.28
Change,0.76%
Volume,4615}
{No.,5344
Ticker,JMID
Company,Janus Henderson Mid Cap Growth Alpha ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,29.41
Change,0.00%
Volume,0}
{No.,5345
Ticker,JMM
Company,Nuveen Multi-Market Income Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,58.76
P/E,12.94
Price,6.21
Change,0.00%
Volume,0}
{No.,5346
Ticker,JMMF
Company,JPMorgan 100% U.S. Treasury Securities Money Market ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,100.16
Change,0.00%
Volume,0}
{No.,5347
Ticker,JMOM
Company,JPMorgan U.S. Momentum Factor ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,70.43
Change,0.00%
Volume,0}
{No.,5348
Ticker,JMSB
Company,John Marshall Bancorp Inc
Sector,Financial
Industry,Banks - Regional
Country,USA
Market Cap,285.52
P/E,13.47
Price,20.10
Change,0.00%
Volume,0}
{No.,5349
Ticker,JMSI
Company,JPMorgan Sustainable Municipal Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.00
Change,0.00%
Volume,0}
{No.,5350
Ticker,JMST
Company,JPMorgan Ultra-Short Municipal Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.09
Change,0.00%
Volume,0}
{No.,5351
Ticker,JMTG
Company,JPMorgan Mortgage-Backed Securities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.69
Change,0.00%
Volume,0}
{No.,5352
Ticker,JMUB
Company,JPMorgan Municipal ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.09
Change,0.00%
Volume,0}
{No.,5353
Ticker,JNEU
Company,AllianzIM U.S. Equity Buffer15 Uncapped June ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.31
Change,0.00%
Volume,0}
{No.,5354
Ticker,JNJ
Company,Johnson & Johnson
Sector,Healthcare
Industry,Drug Manufacturers - General
Country,USA
Market Cap,586376.62
P/E,22.03
Price,243.32
Change,-0.00%
Volume,454}
{No.,5355
Ticker,JNK
Company,State Street SPDR Bloomberg High Yield Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,97.39
Change,0.00%
Volume,0}
{No.,5356
Ticker,JNUG
Company,Direxion Daily Junior Gold Miners Index Bull 2X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,261.79
Change,3.49%
Volume,439}
{No.,5357
Ticker,JOB
Company,GEE Group Inc
Sector,Industrials
Industry,Staffing & Employment Services
Country,USA
Market Cap,27.31
P/E,
Price,0.25
Change,0.00%
Volume,0}
{No.,5358
Ticker,JOBX
Company,Tradr 2X Long JOBY Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,9.55
Change,-2.75%
Volume,12982}
{No.,5359
Ticker,JOBY
Company,Joby Aviation Inc
Sector,Industrials
Industry,Airports & Air Services
Country,USA
Market Cap,9723.64
P/E,
Price,10.08
Change,0.90%
Volume,57549}
{No.,5360
Ticker,JOE
Company,St. Joe Co
Sector,Real Estate
Industry,Real Estate - Diversified
Country,USA
Market Cap,4106.21
P/E,39.47
Price,71.11
Change,0.00%
Volume,0}
{No.,5361
Ticker,JOET
Company,Virtus Terranova U.S. Quality Momentum ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.43
Change,0.00%
Volume,0}
{No.,5362
Ticker,JOF
Company,Japan Smaller Capitalization Fund Inc
Sector,Financial
Industry,Closed-End Fund - Foreign
Country,USA
Market Cap,341.71
P/E,5.00
Price,12.06
Change,0.00%
Volume,0}
{No.,5363
Ticker,JOJO
Company,ATAC Credit Rotation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,16.10
Change,0.00%
Volume,0}
{No.,5364
Ticker,JOUT
Company,Johnson Outdoors Inc
Sector,Consumer Cyclical
Industry,Leisure
Country,USA
Market Cap,516.45
P/E,
Price,49.93
Change,0.00%
Volume,0}
{No.,5365
Ticker,JOYT
Company,JPMorgan Equity and Options Total Return ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,55.19
Change,0.00%
Volume,0}
{No.,5366
Ticker,JOYY
Company,JOYY Inc ADR
Sector,Communication Services
Industry,Internet Content & Information
Country,Singapore
Market Cap,2115.38
P/E,
Price,61.05
Change,0.00%
Volume,0}
{No.,5367
Ticker,JPAN
Company,Matthews Japan Active ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.39
Change,0.00%
Volume,0}
{No.,5368
Ticker,JPC
Company,Nuveen Preferred & Income Opportunities Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,2690.31
P/E,10.56
Price,8.24
Change,0.00%
Volume,0}
{No.,5369
Ticker,JPEF
Company,JPMorgan Equity Focus ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,75.02
Change,0.00%
Volume,0}
{No.,5370
Ticker,JPEM
Company,JPMorgan Diversified Return Emerging Markets Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,65.86
Change,0.00%
Volume,0}
{No.,5371
Ticker,JPHY
Company,JPMorgan Active High Yield ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.71
Change,0.00%
Volume,0}
{No.,5372
Ticker,JPIB
Company,JPMorgan International Bond Opportunities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.32
Change,0.00%
Volume,0}
{No.,5373
Ticker,JPIE
Company,JPMorgan Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.50
Change,0.00%
Volume,0}
{No.,5374
Ticker,JPIN
Company,JPMorgan Diversified Return International Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,75.15
Change,0.00%
Volume,0}
{No.,5375
Ticker,JPLD
Company,JPMorgan Limited Duration Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.62
Change,0.00%
Volume,0}
{No.,5376
Ticker,JPM
Company,JPMorgan Chase & Co
Sector,Financial
Industry,Banks - Diversified
Country,USA
Market Cap,831549.08
P/E,15.41
Price,308.32
Change,0.39%
Volume,5081}
{No.,5377
Ticker,JPMB
Company,JPMorgan USD Emerging Markets Sovereign Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.79
Change,0.00%
Volume,0}
{No.,5378
Ticker,JPME
Company,JPMorgan Diversified Return U.S. Mid Cap Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,117.73
Change,0.00%
Volume,0}
{No.,5379
Ticker,JPMO
Company,YieldMax JPM Option Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,14.72
Change,0.00%
Volume,0}
{No.,5380
Ticker,JPRE
Company,JPMorgan Realty Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.40
Change,0.00%
Volume,0}
{No.,5381
Ticker,JPSE
Company,JPMorgan Diversified Return U.S. Small Cap Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,54.59
Change,0.00%
Volume,0}
{No.,5382
Ticker,JPST
Company,JPMorgan Ultra-Short Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.71
Change,0.00%
Volume,0}
{No.,5383
Ticker,JPSV
Company,JPMorgan Active Small Cap Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,62.20
Change,0.00%
Volume,0}
{No.,5384
Ticker,JPUS
Company,JPMorgan Diversified Return U.S. Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,134.72
Change,0.00%
Volume,0}
{No.,5385
Ticker,JPXN
Company,iShares JPX-Nikkei 400 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,99.13
Change,0.00%
Volume,0}
{No.,5386
Ticker,JPY
Company,Lazard Japanese Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.18
Change,0.00%
Volume,0}
{No.,5387
Ticker,JQC
Company,Nuveen Credit Strategies Income Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,736.13
P/E,12.45
Price,4.98
Change,0.00%
Volume,0}
{No.,5388
Ticker,JQUA
Company,JPMorgan U.S. Quality Factor ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,63.62
Change,0.00%
Volume,0}
{No.,5389
Ticker,JRE
Company,Janus Henderson U.S. Real Estate ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.66
Change,0.00%
Volume,0}
{No.,5390
Ticker,JRI
Company,Nuveen Real Asset Income and Growth Fund
Sector,Financial
Industry,Closed-End Fund - Equity
Country,USA
Market Cap,362.45
P/E,6.51
Price,13.22
Change,0.00%
Volume,0}
{No.,5391
Ticker,JRS
Company,Nuveen Real Estate Income Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,236.63
P/E,16.06
Price,8.19
Change,0.00%
Volume,0}
{No.,5392
Ticker,JRSH
Company,Jerash holdings (US) Inc
Sector,Consumer Cyclical
Industry,Apparel Manufacturing
Country,USA
Market Cap,41.91
P/E,24.19
Price,3.30
Change,0.00%
Volume,0}
{No.,5393
Ticker,JRVR
Company,James River Group Holdings Ltd
Sector,Financial
Industry,Insurance - Specialty
Country,USA
Market Cap,321.76
P/E,
Price,7.00
Change,0.00%
Volume,0}
{No.,5394
Ticker,JSCP
Company,JPMorgan Short Duration Core Plus ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.73
Change,0.00%
Volume,0}
{No.,5395
Ticker,JSI
Company,Janus Henderson Securitized Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.49
Change,0.00%
Volume,0}
{No.,5396
Ticker,JSMD
Company,Janus Henderson Small/Mid Cap Growth Alpha ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,85.52
Change,0.00%
Volume,0}
{No.,5397
Ticker,JSML
Company,Janus Henderson Small Cap Growth Alpha ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,75.80
Change,0.00%
Volume,0}
{No.,5398
Ticker,JSPR
Company,Jasper Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,33.86
P/E,
Price,1.21
Change,0.00%
Volume,0}
{No.,5399
Ticker,JSTC
Company,Adasina Social Justice All Cap Global ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,20.79
Change,0.00%
Volume,0}
{No.,5400
Ticker,JTAI
Company,Jet.AI Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,4.64
P/E,
Price,0.10
Change,0.79%
Volume,1142397}
{No.,5401
Ticker,JTEK
Company,JPMorgan U.S. Tech Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,83.47
Change,0.00%
Volume,0}
{No.,5402
Ticker,JUCY
Company,Aptus Enhanced Yield ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.25
Change,0.00%
Volume,0}
{No.,5403
Ticker,JULB
Company,Aptus July Buffer ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.69
Change,0.00%
Volume,0}
{No.,5404
Ticker,JULH
Company,Innovator Premium Income 20 Barrier ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.03
Change,0.00%
Volume,0}
{No.,5405
Ticker,JULJ
Company,Innovator Premium Income 30 Barrier ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.01
Change,0.00%
Volume,0}
{No.,5406
Ticker,JULM
Company,FT Vest U.S. Equity Max Buffer ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.73
Change,0.00%
Volume,0}
{No.,5407
Ticker,JULP
Company,PGIM S&P 500 Buffer 12 ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.95
Change,0.00%
Volume,0}
{No.,5408
Ticker,JULT
Company,AllianzIM U.S. Equity Buffer10 Jul ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.05
Change,0.00%
Volume,0}
{No.,5409
Ticker,JULU
Company,AllianzIM U.S. Equity Buffer15 Uncapped Jul ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,29.56
Change,0.00%
Volume,0}
{No.,5410
Ticker,JULW
Company,AllianzIM U.S. Equity Buffer20 Jul ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.25
Change,0.00%
Volume,0}
{No.,5411
Ticker,JULZ
Company,TrueShares Structured Outcome (July) ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.92
Change,0.00%
Volume,0}
{No.,5412
Ticker,JUNM
Company,FT Vest U.S. Equity Max Buffer ETF - June
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.43
Change,0.00%
Volume,0}
{No.,5413
Ticker,JUNP
Company,PGIM S&P 500 Buffer 12 ETF - June
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.71
Change,0.00%
Volume,0}
{No.,5414
Ticker,JUNS
Company,Jupiter Neurosciences Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,19.27
P/E,
Price,0.56
Change,0.00%
Volume,0}
{No.,5415
Ticker,JUNT
Company,AllianzIM U.S. Equity Buffer10 Jun ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.55
Change,0.00%
Volume,0}
{No.,5416
Ticker,JUNW
Company,AllianzIM U.S. Equity Buffer20 Jun ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.57
Change,0.00%
Volume,0}
{No.,5417
Ticker,JUNZ
Company,TrueShares Structured Outcome (June) ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,32.57
Change,0.00%
Volume,0}
{No.,5418
Ticker,JUSA
Company,JPMorgan U.S. Research Enhanced Large Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,61.81
Change,0.00%
Volume,0}
{No.,5419
Ticker,JUST
Company,Goldman Sachs Just Us Large Cap Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,96.86
Change,0.00%
Volume,0}
{No.,5420
Ticker,JVA
Company,Coffee Holding Co Inc
Sector,Consumer Defensive
Industry,Packaged Foods
Country,USA
Market Cap,17.53
P/E,12.49
Price,3.07
Change,0.00%
Volume,0}
{No.,5421
Ticker,JVAL
Company,JPMorgan U.S. Value Factor ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.50
Change,0.00%
Volume,0}
{No.,5422
Ticker,JWEL
Company,Jowell Global Ltd
Sector,Consumer Cyclical
Industry,Internet Retail
Country,China
Market Cap,4.77
P/E,
Price,2.20
Change,0.00%
Volume,0}
{No.,5423
Ticker,JXG
Company,JX Luxventure Group Inc
Sector,Consumer Cyclical
Industry,Apparel Manufacturing
Country,China
Market Cap,7.60
P/E,0.42
Price,4.07
Change,0.00%
Volume,0}
{No.,5424
Ticker,JXI
Company,iShares Global Utilities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,87.05
Change,0.00%
Volume,0}
{No.,5425
Ticker,JXN
Company,Jackson Financial Inc
Sector,Financial
Industry,Insurance - Life
Country,USA
Market Cap,7971.50
P/E,16.22
Price,117.28
Change,1.30%
Volume,8}
{No.,5426
Ticker,JXX
Company,Janus Henderson Transformational Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.76
Change,0.00%
Volume,0}
{No.,5427
Ticker,JYD
Company,Jayud Global Logistics Ltd
Sector,Industrials
Industry,Integrated Freight & Logistics
Country,China
Market Cap,7.03
P/E,
Price,2.57
Change,0.00%
Volume,0}
{No.,5428
Ticker,JYNT
Company,Joint Corp
Sector,Healthcare
Industry,Medical Care Facilities
Country,USA
Market Cap,132.61
P/E,70.51
Price,8.92
Change,0.00%
Volume,0}
{No.,5429
Ticker,JZ
Company,Jianzhi Education Technology Group Co Ltd ADR
Sector,Technology
Industry,Information Technology Services
Country,China
Market Cap,2.30
P/E,
Price,0.81
Change,0.00%
Volume,0}
{No.,5430
Ticker,JZXN
Company,Jiuzi Holdings Inc
Sector,Consumer Cyclical
Industry,Auto & Truck Dealerships
Country,China
Market Cap,1.97
P/E,
Price,1.41
Change,-5.37%
Volume,23858}
{No.,5431
Ticker,KAI
Company,Kadant
Sector,Industrials
Industry,Specialty Industrial Machinery
Country,USA
Market Cap,3971.83
P/E,38.99
Price,337.22
Change,1.11%
Volume,52}
{No.,5432
Ticker,KALA
Company,Kala Bio Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,11.08
P/E,
Price,0.40
Change,0.00%
Volume,0}
{No.,5433
Ticker,KALU
Company,Kaiser Aluminum Corp
Sector,Basic Materials
Industry,Aluminum
Country,USA
Market Cap,2278.11
P/E,25.39
Price,140.57
Change,0.00%
Volume,0}
{No.,5434
Ticker,KALV
Company,KalVista Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,760.72
P/E,
Price,15.05
Change,0.40%
Volume,48027}
{No.,5435
Ticker,KAMO
Company,Kensington Credit Opportunities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.18
Change,0.00%
Volume,0}
{No.,5436
Ticker,KAPA
Company,Kairos Pharma Ltd
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,12.26
P/E,
Price,0.59
Change,0.00%
Volume,0}
{No.,5437
Ticker,KAPR
Company,Innovator U.S. Small Cap Power Buffer ETF - April
